Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.7521,0.1697,4.1470,0.1232
2,2.3199,0.2500,4.1190,0.1192
3,2.0210,0.3054,1.5231,0.4616
4,1.6130,0.5000,1.5217,0.4672
5,1.6630,0.4023,1.1415,0.6632
6,1.7587,0.3750,1.1317,0.6744
7,1.4947,0.4717,1.2113,0.6328
8,1.3854,0.2500,1.2111,0.6272
9,1.4105,0.4967,1.1363,0.6000
10,1.0731,0.6250,1.1290,0.6040
11,1.2712,0.5610,0.7338,0.8176
12,1.3228,0.6250,0.7336,0.8192
13,1.1980,0.5727,1.3288,0.4856
14,1.2788,0.5000,1.4282,0.4616
15,1.1341,0.5952,0.8459,0.7040
16,0.5573,0.8750,0.8381,0.7080
17,1.1096,0.5958,0.6036,0.7600
18,1.0590,0.6250,0.5849,0.7736
19,1.0510,0.6269,0.8075,0.6776
20,0.9356,0.6250,0.7833,0.6840
21,0.9928,0.6531,0.5751,0.8432
22,1.6519,0.3750,0.5640,0.8512
23,0.9667,0.6575,0.4184,0.8904
24,0.3829,0.8750,0.4279,0.8848
25,0.9360,0.6756,0.6842,0.7768
26,1.3048,0.3750,0.7445,0.7584
27,0.8750,0.6971,0.4328,0.8704
28,1.5571,0.5000,0.4155,0.8736
29,0.8498,0.7036,0.4463,0.8288
30,0.2321,1.0000,0.4739,0.8192
31,0.8029,0.7249,0.4297,0.8464
32,0.6905,0.6250,0.4005,0.8576
33,0.8248,0.6973,0.3486,0.9040
34,0.7465,0.6250,0.3817,0.8944
35,0.7604,0.7355,0.2240,0.9376
36,0.5970,0.8750,0.2254,0.9352
37,0.7332,0.7538,0.2970,0.9080
38,0.6257,0.6250,0.2940,0.9104
39,0.7268,0.7521,0.2297,0.9200
40,0.6399,0.7500,0.2327,0.9168
41,0.7462,0.7432,0.3614,0.8696
42,0.9048,0.7500,0.3749,0.8624
43,0.6899,0.7577,0.3649,0.8800
44,0.6874,0.8750,0.3804,0.8728
45,0.7006,0.7581,0.2411,0.9112
46,0.3818,0.7500,0.2397,0.9136
47,0.7402,0.7478,0.2106,0.9312
48,0.9313,0.7500,0.2103,0.9312
49,0.6272,0.7805,0.2199,0.9288
50,0.1297,1.0000,0.2281,0.9248
51,0.6444,0.7696,0.4663,0.8248
52,0.4699,0.7500,0.4660,0.8264
53,0.6446,0.7709,0.1686,0.9520
54,0.3771,0.8750,0.1705,0.9488
55,0.6397,0.7704,0.1869,0.9512
56,0.6192,0.8750,0.1836,0.9528
57,0.6153,0.7871,0.1619,0.9488
58,0.4120,0.7500,0.1638,0.9504
59,0.6548,0.7795,0.2069,0.9320
60,1.1291,0.6250,0.2019,0.9360
61,0.6032,0.8026,0.2315,0.9272
62,0.2101,0.8750,0.2288,0.9296
63,0.5904,0.7992,0.1137,0.9720
64,0.1948,1.0000,0.1180,0.9704
65,0.5645,0.8058,0.2105,0.9416
66,0.1707,1.0000,0.2061,0.9432
67,0.6048,0.7881,0.1438,0.9608
68,0.3701,0.8750,0.1440,0.9600
69,0.5623,0.8127,0.1605,0.9552
70,0.5115,0.8750,0.1548,0.9584
71,0.5189,0.8321,0.1540,0.9672
72,1.0890,0.7500,0.1522,0.9664
73,0.5795,0.7984,0.1330,0.9528
74,0.7858,0.7500,0.1276,0.9544
75,0.5123,0.8150,0.1434,0.9496
